host_response_time,host_response_rate,host_neighbourhood,host_listings_count,neighbourhood,city,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,reviews_per_month,price
,,Copacabana,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22051-002,-22.975260000000002,-43.191140000000004,Apartment,Entire home/apt,6,2.0,2.0,3.0,Real Bed,$600.00,,$0.00,5,1125,2,90.0,0.06,598.0
within an hour,96%,Copacabana,4.0,Glória,Rio de Janeiro,Rio de Janeiro,22210-010,-22.92064,-43.17422,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,$150.00,$25.00,14,90,2,100.0,1.15,251.0
within an hour,100%,Copacabana,1.0,Copacabana,Copacabana,Rio de Janeiro,22031-071,-22.966720000000002,-43.18627,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,,$150.00,$50.00,1,1125,1,100.0,1.0,131.0
,,,1.0,Barra da Tijuca,Jacarepagua,Rio de Janeiro,22780-175,-22.96474,-43.40235,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,"$1,200.00",$130.00,$30.00,3,120,4,100.0,0.26,121.0
within a day,100%,Copacabana,4.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22071,-22.9786,-43.19259,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,$100.00,$60.00,2,1125,10,94.0,0.36,120.0
within an hour,100%,,4.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22061020,-22.97495,-43.19057,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,$410.00,$150.00,$20.00,2,720,3,100.0,0.07,301.0
within a few hours,100%,Laranjeiras,6.0,Laranjeiras,"Rio de Janeiro, Rio de Janeiro",Brasil,22231-220,-22.93524,-43.18371,Apartment,Private room,3,1.0,1.0,2.0,Real Bed,$0.00,$160.00,$98.00,1,1125,2,100.0,0.11,2501.0
within an hour,100%,Copacabana,16.0,Copacabana,Rio de Janeiro,RJ,22060022,-22.97087,-43.187020000000004,Apartment,Private room,8,3.0,4.0,7.0,Real Bed,$614.00,$121.00,$108.00,1,1125,8,100.0,0.19,116.0
within an hour,100%,Barra da Tijuca,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22620,-23.00962,-43.34068,Condominium,Entire home/apt,10,3.5,3.0,10.0,Real Bed,$0.00,$200.00,$150.00,1,1125,54,95.0,2.0,282.0
within a day,88%,Leme,1.0,Leme,Rio de Janeiro,Rio de Janeiro,22010-070,-22.96405,-43.170590000000004,Apartment,Entire home/apt,8,2.0,3.0,6.0,Real Bed,,,$0.00,2,15,2,100.0,0.09,296.0
within an hour,90%,Barra da Tijuca,1.0,Barra da Tijuca,Barra da Tijuca,Rio de Janeiro,22640-105,-22.99746,-43.34732,Condominium,Entire home/apt,8,2.5,3.0,2.0,Real Bed,"$1,000.00",$220.00,$100.00,2,1125,4,100.0,0.96,382.0
within an hour,90%,,2.0,Barra da Tijuca,Jacarepagua,Rio de Janeiro,22783-145,-22.97598,-43.4148,Serviced apartment,Private room,2,1.0,1.0,2.0,Real Bed,"$1,000.00",$0.00,$0.00,3,30,9,100.0,0.58,158.0
within an hour,100%,Recreio dos Bandeirantes,2.0,Recreio dos Bandeirantes,Recreio dos Bandeirantes,Rio de Janeiro,22795-850,-23.02124,-43.453109999999995,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,$50.00,$30.00,2,30,13,100.0,0.73,147.0
,,Urca,1.0,Urca,Urca,Rio de Janeiro,22291-070,-22.94899,-43.16478,Loft,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"$2,000.00",$150.00,$100.00,1,1125,1,100.0,0.18,116.0
,,,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22793329,-23.00299,-43.424459999999996,Apartment,Entire home/apt,5,2.5,2.0,2.0,Real Bed,,$170.00,$0.00,7,30,1,80.0,0.03,598.0
within an hour,100%,,6.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22780-160,-22.97146,-43.39971,Condominium,Entire home/apt,5,1.5,2.0,4.0,Real Bed,"$1,000.00",$120.00,$100.00,2,89,3,100.0,0.63,251.0
,,,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22711,-22.96454,-43.38472,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,,$0.00,1,1125,3,93.0,0.09,120.0
a few days or more,25%,Laranjeiras,1.0,Laranjeiras,Rio de Janeiro,Rio de Janeiro,22240-070,-22.93592,-43.18724,Apartment,Entire home/apt,6,2.0,2.0,4.0,Real Bed,$400.00,$150.00,$40.00,1,60,45,96.0,0.81,251.0
within a few hours,92%,Copacabana,37.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22081025,-22.98389,-43.191159999999996,Apartment,Entire home/apt,11,3.5,3.0,9.0,Real Bed,$412.00,$300.00,$50.00,2,90,7,86.0,0.14,548.0
within a few hours,88%,Ipanema,1.0,Ipanema,Rio de Janeiro,Rio de Janeiro,22410-003,-22.98376,-43.20326,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,,$0.00,2,1125,15,100.0,0.58,120.0
within an hour,100%,Engenho Novo,3.0,Engenho Novo,Grajau,Rio de Janeiro,20715-310,-22.9138,-43.27244,Condominium,Entire home/apt,4,1.0,2.0,3.0,Real Bed,$500.00,$150.00,$30.00,3,1125,4,100.0,0.44,100.0
within an hour,100%,,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22011,-22.960820000000002,-43.1761,Apartment,Entire home/apt,4,1.0,0.0,3.0,Real Bed,$0.00,$80.00,$50.00,2,1125,15,100.0,0.34,151.0
within an hour,97%,Flamengo,313.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22050-002,-22.96419,-43.17645,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,$0.00,$155.00,$0.00,2,730,8,83.0,0.71,69.0
within a few hours,100%,Copacabana,1.0,Copacabana,Rio de Janeiro,State of Rio de Janeiro,22080-001,-22.98415,-43.19075,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,$50.00,$60.00,1,1125,52,98.0,1.27,100.0
within a few hours,100%,Barra da Tijuca,2.0,Barra da Tijuca,Barra da Tijuca,Rio de Janeiro,22775-040,-22.97328,-43.39565,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,$0.00,$150.00,$0.00,5,30,1,100.0,0.05,1100.0
within an hour,100%,,2.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22775-130,-22.97053,-43.39314,Condominium,Entire home/apt,4,2.0,2.0,3.0,Real Bed,"$2,500.00",$120.00,$50.00,2,45,7,100.0,0.2,401.0
within an hour,97%,Flamengo,313.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22021-010,-22.96324,-43.17532,Condominium,Entire home/apt,4,1.0,1.0,2.0,Real Bed,$0.00,$140.00,$0.00,2,730,3,93.0,0.78,69.0
within a few hours,100%,Copacabana,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22050-002,-22.96657,-43.180640000000004,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,$0.00,$80.00,$0.00,4,1125,13,92.0,0.24,100.0
within a few hours,80%,Copacabana,5.0,Copacabana,Rio,Rio de Janeiro,,-22.96536,-43.17947,Apartment,Entire home/apt,8,2.0,3.0,10.0,Real Bed,$0.00,$180.00,$88.00,2,90,8,89.0,0.13,579.0
,,,1.0,Praça da Bandeira,Praca da Bandeira,Rio de Janeiro,20260-080,-22.91091,-43.21275,Apartment,Entire home/apt,10,2.0,3.0,3.0,Real Bed,$0.00,$220.00,$30.00,2,1125,1,100.0,0.06,178.0
within a few hours,90%,Copacabana,1.0,Copacabana,Copacabana,Rio de Janeiro,22041-011,-22.9703,-43.19042,Apartment,Entire home/apt,4,1.5,1.0,2.0,Real Bed,,$120.00,$0.00,3,20,1,100.0,0.28,251.0
within an hour,100%,Flamengo,1.0,Flamengo,Rio de Janeiro,Rio de Janeiro,22230-000,-22.93767,-43.17729,Apartment,Entire home/apt,6,2.0,3.0,6.0,Real Bed,$0.00,$170.00,$100.00,2,1125,19,97.0,0.42,301.0
within an hour,100%,Copacabana,10.0,Ipanema,Rio de Janeiro,Rio de Janeiro,22411-000,-22.984479999999998,-43.19992,Apartment,Entire home/apt,7,2.5,2.0,4.0,Real Bed,"$1,250.00",$180.00,$60.00,3,180,34,95.0,0.53,289.0
within an hour,100%,Ipanema,58.0,Ipanema,Rio de Janeiro,Rio de Janeiro,22080-030,-22.98561,-43.1954,Apartment,Entire home/apt,6,2.0,3.0,3.0,Real Bed,"$2,702.00",,$0.00,1,1125,1,100.0,0.02,656.0
within an hour,95%,Ipanema,12.0,Ipanema,Rio de Janeiro,RJ,22410-002,-22.98486,-43.20978,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"$1,000.00",$180.00,$40.00,1,1125,8,90.0,0.9,158.0
within a day,80%,Recreio dos Bandeirantes,3.0,Recreio dos Bandeirantes,Rio de Janeiro,Rio de Janeiro,22790,-23.01693,-43.458059999999996,Apartment,Entire home/apt,4,2.0,2.0,3.0,Real Bed,$350.00,$150.00,$0.00,3,1125,43,97.0,1.53,147.0
within an hour,100%,Barra da Tijuca,2.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22630,-23.01011,-43.34367,Apartment,Entire home/apt,6,2.5,3.0,6.0,Real Bed,$0.00,$154.00,$0.00,2,30,32,100.0,0.79,695.0
,,,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22630,-23.0096,-43.344390000000004,Apartment,Entire home/apt,11,4.0,5.0,11.0,Real Bed,$500.00,,$0.00,7,30,1,80.0,0.03,2500.0
within a day,67%,Leme,2.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22020 002,-22.96557,-43.17603,Apartment,Entire home/apt,5,1.0,0.0,3.0,Real Bed,$500.00,$120.00,$25.00,3,1125,5,96.0,0.12,228.0
within a few hours,100%,,5.0,Leblon,Rio de Janeiro,RJ,22430210,-22.98668,-43.22325,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,,,$0.00,1,1125,47,94.0,1.16,401.0
,,Botafogo,5.0,Botafogo,Botafogo,Rio de Janeiro,22280-002,-22.957320000000003,-43.18594,Apartment,Entire home/apt,4,2.0,3.0,4.0,Real Bed,$0.00,$150.00,$150.00,4,5,1,100.0,0.06,502.0
within an hour,100%,Ipanema,56.0,Copacabana,Rio De Janeiro,Rj,22011-011,-22.965310000000002,-43.17425,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,$0.00,$150.00,$0.00,3,90,1,20.0,0.06,232.0
within an hour,94%,Leblon,69.0,Ipanema,Rio De Janeiro,Rio De Janeiro,22420-030,-22.9824,-43.20575,Apartment,Entire home/apt,4,2.0,2.0,3.0,Real Bed,"$2,000.00",$300.00,$70.00,2,90,25,98.0,0.54,614.0
a few days or more,33%,,1.0,Recreio dos Bandeirantes,Recreio dos Bandeirantes,Rio de Janeiro,22795-712,-23.02318,-43.46602,Condominium,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"$1,000.00",$130.00,$50.00,2,30,9,88.0,0.44,282.0
within an hour,90%,Ipanema,1.0,Ipanema,Ipanema,Rio de Janeiro,22420-040,-22.98584,-43.207159999999995,Apartment,Entire home/apt,4,2.0,2.0,3.0,Real Bed,$700.00,$170.00,$0.00,1,88,20,96.0,2.39,409.0
within an hour,100%,,1.0,Flamengo,Flamengo ,Rio de Janeiro,22230061,-22.93821,-43.17677,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,"$1,000.00",$150.00,$80.00,2,1125,6,100.0,0.2,401.0
within an hour,100%,,1.0,Tijuca,Rio de Janeiro,Rio de Janeiro,20530-003,-22.931910000000002,-43.23977,Apartment,Entire home/apt,5,2.0,3.0,3.0,Real Bed,,$150.00,$100.00,1,1125,18,99.0,0.64,151.0
within an hour,92%,Copacabana,10.0,Ipanema,Rio de Janeiro,Rio de Janeiro,22410-003,-22.98325,-43.20766,Apartment,Entire home/apt,4,1.5,1.0,1.0,Real Bed,$700.00,$140.00,$49.00,3,89,26,94.0,0.71,228.0
within an hour,97%,Copacabana,2.0,Copacabana,Copacabana,Rio de Janeiro,22071-020,-22.979879999999998,-43.18914,Apartment,Entire home/apt,3,1.0,0.0,2.0,Real Bed,$500.00,$79.00,$0.00,3,1125,16,95.0,2.81,351.0
within a few hours,100%,Botafogo,7.0,Botafogo,Rio de Janeiro,Rio de Janeiro,22251,-22.94136,-43.1882,House,Private room,2,2.0,1.0,1.0,Real Bed,$480.00,$0.00,$58.00,7,200,2,100.0,0.23,62.0
within a day,100%,Flamengo,1.0,Flamengo,Rio de Janeiro,Rio de Janeiro,22250-120,-22.93946,-43.1771,Apartment,Entire home/apt,4,1.5,2.0,3.0,Real Bed,"$2,000.00",$150.00,$200.00,15,360,8,93.0,0.2,401.0
,,,1.0,Tijuca,Rio de Janeiro,Rio de Janeiro,20520,-22.93366,-43.24645,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,,,$0.00,2,10,4,100.0,0.13,301.0
within a day,70%,Copacabana,2.0,Copacabana,Rio de Janeiro,State of Rio de Janeiro,22031070,-22.96511,-43.189479999999996,Apartment,Private room,2,1.0,1.0,1.0,Futon,,,$0.00,2,1125,50,98.0,0.89,85.0
within a day,88%,,1.0,Andaraí,Rio,Rio de Janeiro,,-22.92742,-43.24734,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,"$1,000.00",$100.00,$200.00,2,1125,3,100.0,0.06,112.0
within a few hours,93%,Copacabana,2.0,Copacabana,Copacabana,Rio de Janeiro,22060-001,-22.97515,-43.187979999999996,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,$0.00,,$0.00,2,45,18,97.0,6.59,139.0
within an hour,100%,Copacabana,1.0,Copacabana,Copacabana,Rio de Janeiro,22070-001,-22.983079999999998,-43.19056,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,,$150.00,$0.00,1,1125,1,100.0,0.33,251.0
,,Leblon,1.0,Leblon,Rio de Janeiro,Rio de Janeiro,22430-220,-22.98402,-43.221140000000005,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$0.00,$150.00,$0.00,2,10,7,95.0,0.19,452.0
,,Centro,3.0,Centro,Rio de Janeiro,Rio de Janeiro,20080-070,-22.901329999999998,-43.18119,Apartment,Shared room,1,1.0,1.0,1.0,Real Bed,,$80.00,$0.00,3,365,5,80.0,0.06,42.0
within a day,100%,,1.0,Botafogo,Rio de Janeiro,RJ,22270-010,-22.9514,-43.18305,Apartment,Entire home/apt,3,2.0,1.0,2.0,Real Bed,,,$150.00,2,1125,2,100.0,0.06,259.0
within an hour,100%,Copacabana,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22051-030,-22.971510000000002,-43.19149,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,$500.00,$189.00,$50.00,2,1125,62,99.0,2.21,139.0
within a day,67%,Barra da Tijuca,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22620-170,-23.01396,-43.304159999999996,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,,$100.00,$100.00,2,1125,9,93.0,0.2,262.0
within a day,100%,Flamengo,1.0,Flamengo,Flamengo,Rio de Janeiro,22210-080,-22.93555,-43.17899,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,$394.00,$65.00,$50.00,3,1125,4,100.0,0.42,73.0
,,Ipanema,1.0,Ipanema,Ipanema,Rio de Janeiro,22411-000,-22.98357,-43.20081,Serviced apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,$0.00,$216.00,$0.00,2,45,1,100.0,0.27,347.0
a few days or more,0%,Santa Teresa,2.0,Santa Teresa,Rio de Janeiro,Rio de Janeiro,20240-070,-22.91515,-43.19298,House,Private room,2,2.0,1.0,1.0,Real Bed,,$50.00,$50.00,1,1125,4,100.0,0.12,151.0
within a day,100%,Leblon,1.0,Leblon,Rio de Janeiro,Rio de Janeiro,22430210,-22.98314,-43.22405,Apartment,Entire home/apt,8,2.5,4.0,6.0,Real Bed,"$1,900.00",$300.00,$400.00,1,1125,1,100.0,0.03,2490.0
within a few hours,100%,Flamengo,3.0,Flamengo,Flamengo,Rio de Janeiro,22230-061,-22.93811,-43.17651,Serviced apartment,Private room,3,1.0,1.0,2.0,Real Bed,$0.00,$50.00,$30.00,4,35,1,100.0,0.29,151.0
,,Copacabana,4.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22011-002,-22.964170000000003,-43.17796,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,$390.00,$35.00,$0.00,4,1125,8,89.0,0.17,100.0
a few days or more,25%,,1.0,Jardim Botânico,Rio de Janeiro,Rio de Janeiro,22451,-22.973029999999998,-43.24055,House,Entire home/apt,3,1.0,1.0,2.0,Real Bed,,,$0.00,3,1125,1,100.0,0.03,432.0
within an hour,100%,Copacabana,16.0,Flamengo,Flamengo,Rio de Janeiro,22230-001,-22.9383,-43.17742,Apartment,Entire home/apt,6,2.0,2.0,4.0,Real Bed,"$1,500.00",$150.00,$50.00,5,90,1,80.0,0.18,305.0
within an hour,100%,,1.0,Leblon,Leblon,Rio de Janeiro,22441-013,-22.98428,-43.22051,Apartment,Entire home/apt,4,2.0,2.0,3.0,Real Bed,"$1,000.00",$160.00,$0.00,2,30,10,92.0,0.47,579.0
,,,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22780,-22.965970000000002,-43.40822,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,$500.00,$150.00,$45.00,2,1125,2,100.0,0.06,160.0
within a few hours,80%,Copacabana,3.0,Copacabana,Copacabana,Rio de Janeiro,22040-010,-22.96794,-43.18359,Apartment,Entire home/apt,4,1.0,1.0,3.0,Real Bed,"$3,000.00",$130.00,$0.00,2,1125,1,100.0,0.28,158.0
within an hour,100%,Maracanã,2.0,Praça da Bandeira,Maracanã,RJ,20270-004,-22.91216,-43.21756,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,,,$30.00,1,1125,14,97.0,2.64,120.0
,,Barra da Tijuca,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22630,-23.01086,-43.362829999999995,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,$0.00,$150.00,$0.00,3,30,2,100.0,0.35,301.0
within an hour,100%,Ipanema,3.0,Ipanema,Ipanema,Rio de Janeiro,22411,-22.982860000000002,-43.19763,Apartment,Entire home/apt,5,2.0,3.0,3.0,Real Bed,$800.00,$160.00,$50.00,2,89,20,97.0,1.15,270.0
,,Copacabana,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22011-002,-22.96385,-43.18053,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,$606.00,$154.00,$120.00,3,1125,2,90.0,0.06,289.0
,,Barra da Tijuca,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22790-735,-22.97407,-43.396229999999996,Condominium,Entire home/apt,16,1.0,2.0,5.0,Real Bed,$0.00,$140.00,$50.00,1,4,41,92.0,1.13,70.0
within an hour,93%,Ipanema,16.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22060-020,-22.97895,-43.19275,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,,$90.00,$0.00,3,1125,1,80.0,0.03,166.0
within a day,50%,,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22775-170,-22.96939,-43.393809999999995,Apartment,Entire home/apt,6,2.0,3.0,6.0,Real Bed,,$100.00,$0.00,2,30,4,100.0,0.15,378.0
within an hour,90%,Barra da Tijuca,1.0,Barra da Tijuca,Barra da Tijuca,Rio de Janeiro,22630-011,-23.00843,-43.33566,Condominium,Entire home/apt,7,2.0,3.0,6.0,Real Bed,"$2,000.00",$180.00,$100.00,3,15,42,100.0,2.42,401.0
within a few hours,100%,,1.0,,Rio de Janeiro,Rio de Janeiro,22783-110,-22.97072,-43.41578,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,$393.00,$170.00,$100.00,2,30,3,100.0,0.04,251.0
within an hour,100%,,1.0,Barra da Tijuca,Barra da Tijuca,Rio de Janeiro,22793-261,-22.99822,-43.38818,Condominium,Entire home/apt,8,4.5,3.0,4.0,Real Bed,"$1,200.00",$145.00,$100.00,3,1125,4,100.0,0.19,401.0
within an hour,100%,Copacabana,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22080-000,-22.98297,-43.19388,Apartment,Entire home/apt,5,1.0,1.0,3.0,Real Bed,$350.00,$110.00,$25.00,2,45,71,95.0,0.75,201.0
a few days or more,0%,,1.0,Lapa,Rio,Rio de Janeiro,20230,-22.91179,-43.185190000000006,Apartment,Entire home/apt,4,1.0,1.0,4.0,Real Bed,,$100.00,$20.00,1,1125,2,96.0,0.03,151.0
within a day,82%,Barra da Tijuca,44.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22630-012,-23.00916,-43.357820000000004,Condominium,Entire home/apt,4,1.0,1.0,1.0,Real Bed,,$100.00,$0.00,1,1125,4,95.0,0.12,977.0
within an hour,100%,Ipanema,56.0,Copacabana,Rio De Janeiro,Rj,22011-011,-22.96358,-43.17458,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,$0.00,$150.00,$0.00,3,90,1,60.0,0.07,178.0
,,Lagoa,1.0,Lagoa,Río de Janeiro,Rio de Janeiro,22471000,-22.974529999999998,-43.1993,Apartment,Entire home/apt,4,2.0,2.0,4.0,Real Bed,$700.00,$200.00,$200.00,2,1125,1,100.0,0.03,374.0
a few days or more,25%,Copacabana,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22071-100,-22.98229,-43.195370000000004,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,$500.00,$120.00,$0.00,5,1125,7,86.0,0.14,328.0
,,Humaitá,1.0,Humaitá,Rio de Janeiro,Rio de Janeiro,22271-080,-22.959220000000002,-43.19943,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$800.00,$110.00,$0.00,2,1125,1,100.0,0.03,152.0
within an hour,100%,,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,,-23.01272,-43.32078,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,,$98.00,$40.00,1,1125,7,97.0,0.23,201.0
within an hour,100%,Leblon,7.0,Leblon,Rio de Janeiro,Rio de Janeiro,22430-220,-22.9846,-43.22103,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,$550.00,$150.00,$0.00,2,1125,12,97.0,0.36,459.0
within a few hours,100%,,5.0,,Rio de Janeiro,Rio de Janeiro,22641-540,-22.98272,-43.3045,House,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,$0.00,$0.00,2,365,5,100.0,0.14,158.0
within an hour,100%,Copacabana,1.0,Copacabana,Copacabana,Rio de Janeiro,22050-032,-22.97539,-43.19055,Apartment,Entire home/apt,8,2.0,2.0,3.0,Real Bed,$0.00,$150.00,$25.00,3,90,7,97.0,0.39,201.0
a few days or more,0%,,3.0,Santa Teresa,Rio de Janeiro,Rio de Janeiro,22211-200,-22.924970000000002,-43.1864,House,Entire home/apt,2,1.0,0.0,1.0,Real Bed,,$100.00,$0.00,3,1125,1,100.0,0.02,151.0
within an hour,100%,Ipanema,3.0,Copacabana,Rio de Janeiro - Copacabana,Rio de Janeiro,22041-012,-22.968510000000002,-43.18809,Apartment,Entire home/apt,5,1.5,1.0,3.0,Real Bed,$598.00,$140.00,$34.00,2,180,39,97.0,0.74,135.0
within a few hours,92%,Copacabana,37.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22080-000,-22.98201,-43.1931,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,$446.00,$356.00,$111.00,3,1125,2,100.0,0.05,1004.0
within a few hours,98%,Copacabana,65.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22080,-22.982979999999998,-43.1931,Apartment,Entire home/apt,5,1.5,2.0,2.0,Real Bed,"$2,000.00",$120.00,$0.00,3,1125,3,100.0,0.07,498.0
within an hour,100%,Copacabana,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22070-011,-22.98074,-43.19041,Apartment,Shared room,1,1.0,1.0,2.0,Real Bed,$403.00,$35.00,$37.00,1,15,107,97.0,2.24,35.0
,,Copacabana,1.0,Copacabana,Rio,Rio de Janeiro,22031-072,-22.96593,-43.18719,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,$500.00,$100.00,$0.00,10,120,10,80.0,0.16,158.0
within an hour,100%,Barra da Tijuca,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22620-311,-23.00809,-43.32123,Apartment,Entire home/apt,2,2.0,1.0,2.0,Real Bed,"$1,000.00",$170.00,$30.00,2,80,53,95.0,1.62,181.0
,,Botafogo,1.0,Botafogo,Rio de Janeiro,Rio de Janeiro,22280-020,-22.95561,-43.18647,House,Private room,1,1.5,1.0,1.0,Real Bed,"$1,200.00",$100.00,$60.00,1,1125,3,100.0,0.1,131.0
,,Flamengo,2.0,Flamengo,Flamengo,Rio de Janeiro,22210-030,-22.93829,-43.17457,Apartment,Entire home/apt,6,1.5,2.0,4.0,Real Bed,"$1,500.00",$189.00,$0.00,3,1125,1,100.0,0.27,699.0
,,Botafogo,1.0,Botafogo,Rio de Janeiro,Rio de Janeiro,22280-020,-22.95329,-43.18778,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,$500.00,$170.00,$50.00,2,15,2,100.0,0.35,82.0
within a day,90%,Vila Olímpia,19.0,Leblon,Rio de Janeiro,Rio de Janeiro,22431-001,-22.9831,-43.22464,Apartment,Entire home/apt,4,1.0,0.0,1.0,Real Bed,$330.00,$120.00,$0.00,2,1125,1,80.0,0.03,208.0
,,,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22011,-22.96061,-43.1749,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,,$110.00,$40.00,3,11,3,93.0,0.07,218.0
,,Leblon,1.0,Leblon,Rio de Janeiro,Rio de Janeiro,22431-050,-22.98248,-43.226459999999996,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,$0.00,$180.00,$180.00,3,360,7,100.0,0.17,255.0
within a few hours,92%,,1.0,Santa Teresa,Rio de Janeiro,Rio de Janeiro,20241-220,-22.91882,-43.17903,Apartment,Entire home/apt,3,2.0,1.0,1.0,Real Bed,$500.00,$0.00,$80.00,2,1125,7,100.0,0.17,151.0
within a day,100%,Copacabana,1.0,Copacabana,Copacabana,Rio de Janeiro,22061-020,-22.97673,-43.18755,Apartment,Entire home/apt,5,3.0,3.0,5.0,Real Bed,"$2,000.00",$200.00,$0.00,3,1125,3,100.0,0.74,490.0
,,,1.0,Flamengo,Rio de Janeiro,Rio de Janeiro,22210-080,-22.93195,-43.17706,Apartment,Entire home/apt,6,2.0,3.0,4.0,Real Bed,,,$0.00,2,1125,1,100.0,0.02,417.0
,,Flamengo,1.0,Flamengo,Rio,Rio de Janeiro,22250,-22.94,-43.172290000000004,Apartment,Entire home/apt,6,3.5,3.0,3.0,Real Bed,,,$0.00,1,1125,9,98.0,0.15,798.0
within an hour,100%,,2.0,,Rio de Janeiro,Rio de Janeiro,21321-050,-22.89228,-43.35648,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,$0.00,$50.00,1,365,4,95.0,0.04,120.0
