host_response_time,host_response_rate,host_neighbourhood,host_listings_count,neighbourhood,city,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,reviews_per_month,price
,,Recreio dos Bandeirantes,1.0,Recreio dos Bandeirantes,Recreio dos Bandeirantes,Rio de Janeiro,22790-877,-23.028029999999998,-43.500609999999995,Apartment,Entire home/apt,4,1.0,0.0,2.0,Real Bed,$500.00,$100.00,$0.00,4,30,2,100.0,0.12,151.0
within a few hours,100%,Ipanema,1.0,Ipanema,Ipanema,Rio de Janeiro,,-22.9834,-43.2099,Apartment,Entire home/apt,6,2.0,2.0,2.0,Real Bed,"$1,227.00",$0.00,$58.00,2,1125,15,100.0,0.7,328.0
within an hour,100%,Ipanema,2.0,Ipanema,Ipanema,Rio de Janeiro,22411-000,-22.983610000000002,-43.20252,Serviced apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,,,$0.00,1,45,4,100.0,1.17,455.0
within a few hours,100%,,4.0,Botafogo,Rio de Janeiro,State of Rio de Janeiro,22280-070,-22.9551,-43.184309999999996,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,,$0.00,3,7,54,100.0,1.56,89.0
within a few hours,92%,Copacabana,5.0,Leme,Rio de Janeiro,Rio de Janeiro,,-22.96379,-43.172059999999995,Apartment,Entire home/apt,4,1.0,0.0,2.0,Real Bed,,$90.00,$32.00,2,1125,57,90.0,1.38,100.0
within an hour,100%,Copacabana,1.0,Copacabana,Copacabana,Rio de Janeiro,22040-001,-22.97094,-43.187329999999996,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$0.00,$40.00,$30.00,2,1125,6,90.0,2.69,108.0
within an hour,100%,Copacabana,2.0,Copacabana,Copacabana,Rio de Janeiro,22051-002,-22.97439,-43.19212,Apartment,Entire home/apt,6,1.5,2.0,4.0,Real Bed,,$135.00,$48.00,2,28,9,98.0,0.5,301.0
within an hour,90%,Copacabana,41.0,Copacabana,Rio de Janeiro,RJ,22040-010,-22.96956,-43.18101,Apartment,Entire home/apt,5,1.0,1.0,3.0,Real Bed,,$120.00,$40.00,3,365,7,86.0,0.39,135.0
,,Catete,1.0,Catete,Rio de Janeiro,Rio de Janeiro,22221-000,-22.92507,-43.1793,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,$300.00,$100.00,$0.00,3,1125,2,100.0,0.06,201.0
,,Barra da Tijuca,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22630-010,-23.012539999999998,-43.32277,Apartment,Entire home/apt,6,2.0,3.0,3.0,Real Bed,,,$200.00,4,15,1,80.0,0.03,1098.0
within an hour,100%,Barra da Tijuca,1.0,Barra da Tijuca,Barra da Tijuca,Rio de Janeiro,22620-170,-23.01439,-43.298629999999996,Condominium,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$0.00,$0.00,$0.00,3,1125,1,100.0,0.29,301.0
,,Flamengo,2.0,Flamengo,Flamengo,Rio de Janeiro,22210-080,-22.93542,-43.17731,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"$1,000.00",$50.00,$60.00,4,1125,1,100.0,0.06,152.0
within an hour,100%,Copacabana,2.0,Copacabana,Copacabana,Rio de Janeiro,22070-000,-22.97525,-43.18786,Apartment,Entire home/apt,6,2.0,3.0,6.0,Real Bed,,$180.00,$40.00,2,60,8,98.0,1.53,201.0
within a few hours,100%,Santa Teresa,3.0,Santa Teresa,Rio de Janeiro,Rio de Janeiro,20240-090,-22.92471,-43.1914,House,Private room,1,1.0,1.0,1.0,Real Bed,,,$0.00,1,1125,3,90.0,0.09,81.0
,,,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22775,-22.97126,-43.39713,Apartment,Entire home/apt,4,2.0,1.0,1.0,Real Bed,,,$0.00,1,1125,1,100.0,0.03,709.0
,,,1.0,Copacabana,Rio de Janeiro,State of Rio de Janeiro,,-22.97475,-43.19275,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,,$50.00,$0.00,1,1125,1,100.0,0.03,121.0
